이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,500/40,"81/41m², 5/10층",더플랫폼R,81,41,5,10,월세,500,40.0,
지식산업센터,"1억 2,000","81/39m², 4/10층",우성테크노파크Ⅰ,81,39,4,10,매매,,,"1억 2,000"
지식산업센터,500/50,"76/38m², 4/10층",더플랫폼R,76,38,4,10,월세,500,50.0,
지식산업센터,500/50,"111/55m², 8/10층",광양프런티어밸리5차지식산업센터,111,55,8,10,월세,500,50.0,
지식산업센터,200/25,"37/18m², B1/10층",골든IT타워,37,18,B1,10,월세,200,25.0,
지식산업센터,500/45,"84/42m², 6/10층",부천옥길서영아너시티2,84,42,6,10,월세,500,45.0,
지식산업센터,500/50,"86/43m², 3/10층",더플랫폼R,86,43,3,10,월세,500,50.0,
지식산업센터,500/45,"61/30m², 3/10층",더플랫폼R,61,30,3,10,월세,500,45.0,
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,2억,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,매매,,,2억
지식산업센터,"1,200/120","163/82m², 7/10층",더플랫폼R,163,82,7,10,월세,"1,200",120.0,
지식산업센터,500/40,"91/45m², 8/10층",광양프런티어밸리5차지식산업센터,91,45,8,10,월세,500,40.0,
지식산업센터,700/65,"117/58m², 9/10층",광양프런티어밸리5차지식산업센터,117,58,9,10,월세,700,65.0,
지식산업센터,500/45,"60/30m², 7/10층",더플랫폼R,60,30,7,10,월세,500,45.0,
지식산업센터,1억,"43/21m², 9/10층",광양프런티어밸리5차지식산업센터,43,21,9,10,매매,,,1억
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,"1,000/100","217/97m², 10/10층",광양프런티어밸리7차지식산업센터,217,97,10,10,월세,"1,000",100.0,
지식산업센터,"1,000/60","102/50m², 10/10층",우성테크노파크Ⅰ,102,50,10,10,월세,"1,000",60.0,
지식산업센터,"1,200/120","163/82m², 7/10층",더플랫폼R,163,82,7,10,월세,"1,200",120.0,
지식산업센터,500/45,"73/36m², 4/10층",더플랫폼R,73,36,4,10,월세,500,45.0,
지식산업센터,700/55,"93/46m², B2/10층",광양프런티어밸리5차지식산업센터,93,46,B2,10,월세,700,55.0,
지식산업센터,500/35,"69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,월세,500,35.0,
지식산업센터,"1억 2,000","66/32m², 7/10층",골든IT타워,66,32,7,10,매매,,,"1억 2,000"
지식산업센터,"1,500/150","307/138m², 8/10층",광양프런티어밸리7차지식산업센터,307,138,8,10,월세,"1,500",150.0,
지식산업센터,"1억 2,000","81/39m², 4/10층",우성테크노파크Ⅰ,81,39,4,10,매매,,,"1억 2,000"
지식산업센터,600/60,"61/30m², 2/10층",더플랫폼R,61,30,2,10,월세,600,60.0,
지식산업센터,"1,100/110","157/79m², 7/10층",더플랫폼R,157,79,7,10,월세,"1,100",110.0,
지식산업센터,"4억 1,000","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,매매,,,"4억 1,000"
지식산업센터,"1억 1,000","50/25m², 9/10층",광양프런티어밸리5차지식산업센터,50,25,9,10,매매,,,"1억 1,000"
지식산업센터,500/40,"91/45m², 8/10층",광양프런티어밸리5차지식산업센터,91,45,8,10,월세,500,40.0,
지식산업센터,500/40,"69/34m², 8/10층",광양프런티어밸리5차지식산업센터,69,34,8,10,월세,500,40.0,
지식산업센터,"1억 2,870","61/30m², 7/10층",더플랫폼R,61,30,7,10,매매,,,"1억 2,870"
지식산업센터,500/45,"82/42m², 9/10층",부천옥길서영아너시티2,82,42,9,10,월세,500,45.0,
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,"1억 2,000","69/34m², 4/10층",우성테크노파크Ⅰ,69,34,4,10,매매,,,"1억 2,000"
지식산업센터,500/45,"60/30m², 7/10층",더플랫폼R,60,30,7,10,월세,500,45.0,
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,500/40,"95/47m², 10/10층",광양프런티어밸리5차지식산업센터,95,47,10,10,월세,500,40.0,
지식산업센터,"1,000/60","87/38m², 7/10층",옥길지식산업센터,87,38,7,10,월세,"1,000",60.0,
지식산업센터,"1,000/90","189/94m², B2/10층",광양프런티어밸리5차지식산업센터,189,94,B2,10,월세,"1,000",90.0,
지식산업센터,500/45,"81/41m², 6/10층",더플랫폼R,81,41,6,10,월세,500,45.0,
지식산업센터,500/50,"80/40m², 4/10층",더플랫폼R,80,40,4,10,월세,500,50.0,
지식산업센터,500/40,"80/39m², 3/10층",골든IT타워,80,39,3,10,월세,500,40.0,
지식산업센터,500/50,"84/38m², 8/10층",옥길지식산업센터,84,38,8,10,월세,500,50.0,
지식산업센터,"6억 3,900","307/138m², 8/10층",광양프런티어밸리7차지식산업센터,307,138,8,10,매매,,,"6억 3,900"
지식산업센터,"5억 3,000","214/107m², 3/10층",광양프런티어밸리5차지식산업센터,214,107,3,10,매매,,,"5억 3,000"
지식산업센터,"4억 1,200","216/108m², 5/10층",광양프런티어밸리5차지식산업센터,216,108,5,10,매매,,,"4억 1,200"
지식산업센터,2억,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,매매,,,2억
지식산업센터,"1억 8,500","98/49m², 8/10층",광양프런티어밸리5차지식산업센터,98,49,8,10,매매,,,"1억 8,500"
지식산업센터,"1,000/90","189/94m², B2/10층",광양프런티어밸리5차지식산업센터,189,94,B2,10,월세,"1,000",90.0,
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워,127,62,8,10,월세,"1,000",77.0,
지식산업센터,"1,000/90","142/71m², 5/10층",더플랫폼R,142,71,5,10,월세,"1,000",90.0,
지식산업센터,"5억 8,800","272/137m², 6/10층",더플랫폼R,272,137,6,10,매매,,,"5억 8,800"
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,500/45,"81/40m², 8/10층",골든IT타워,81,40,8,10,월세,500,45.0,
지식산업센터,200/25,"46/26m², B2/10층",더플랫폼R,46,26,B2,10,월세,200,25.0,
지식산업센터,500/65,"60/30m², 8/10층",더플랫폼R,60,30,8,10,월세,500,65.0,
지식산업센터,4억,"217/97m², 10/10층",광양프런티어밸리7차지식산업센터,217,97,10,10,매매,,,4억
지식산업센터,"1억 2,000","69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,매매,,,"1억 2,000"
지식산업센터,"1,000/110","178/78m², 4/10층",옥길지식산업센터,178,78,4,10,월세,"1,000",110.0,
지식산업센터,500/60,"102/50m², 3/10층",우성테크노파크Ⅰ,102,50,3,10,월세,500,60.0,
지식산업센터,500/40,"73/36m², 7/10층",더플랫폼R,73,36,7,10,월세,500,40.0,
지식산업센터,4억,"217/97m², 10/10층",광양프런티어밸리7차지식산업센터,217,97,10,10,매매,,,4억
지식산업센터,500/40,"81/41m², 7/10층",더플랫폼R,81,41,7,10,월세,500,40.0,
지식산업센터,"1억 2,000","69/31m², 10/10층",광양프런티어밸리7차지식산업센터,69,31,10,10,매매,,,"1억 2,000"
지식산업센터,"1,000/70","200/100m², B2/10층",광양프런티어밸리5차지식산업센터,200,100,B2,10,월세,"1,000",70.0,
